Plot,Subplot,Plant,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,A3,SOAS,1210,22,0,None,0,0,0,0,0,0,0,0,0,1
1,A4,BEMA,548,137,0,None,0,0,0,0,0,0,0,0,0,1
1,A4,CETE,2775,25,0,None,0,0,0,0,0,0,0,0,0,1
1,A4,PUPA,345,15,0,None,0,0,0,0,0,0,0,0,0,1
1,A4,SOAS,330,6,0,None,0,0,0,0,0,0,0,0,0,1
1,A5,BEMA,252,63,0,None,0,0,0,0,0,0,0,0,0,1
1,A5,CETE,3774,34,0,None,0,0,0,0,0,0,0,0,0,1
1,A5,CHFU,420,7,0,None,0,0,0,0,0,0,0,0,0,1
1,A5,SOAS,220,4,0,None,0,0,0,0,0,0,0,0,0,1
1,A6,BEMA,448,112,0,None,0,0,0,0,0,0,0,0,0,1
1,A6,CETE,6993,63,0,None,0,0,0,0,0,0,0,0,0,1
1,A6,CHFU,204,3,0,None,0,0,0,0,0,0,0,0,0,1
1,A6,SOAS,495,9,0,None,0,0,0,0,0,0,0,0,0,1
1,B1,BEMA,732,183,0,None,0,0,0,0,0,0,0,0,0,1
1,B1,CETE,222,2,0,None,0,0,0,0,0,0,0,0,0,1
1,B2,BEMA,228,57,0,None,0,0,0,0,0,0,0,0,0,1
1,B2,CETE,2997,27,0,None,0,0,0,0,0,0,0,0,0,1
1,B2,PUPA,115,5,0,None,0,0,0,0,0,0,0,0,0,1
1,B2,SOAS,1265,23,0,None,0,0,0,0,0,0,0,0,0,1
1,B3,BEMA,372,93,0,None,0,0,0,0,0,0,0,0,0,1
1,B3,CETE,4440,40,0,None,0,0,0,0,0,0,0,0,0,1
1,B3,CHFU,112,3.5,0,None,0,0,0,0,0,0,0,0,0,1
1,B3,SOAS,2145,39,0,None,0,0,0,0,0,0,0,0,0,1
1,B4,CETE,2109,19,0,None,0,0,0,0,0,0,0,0,0,1
1,B4,SOAS,1925,35,0,None,0,0,0,0,0,0,0,0,0,1
1,B5,BEMA,360,90,0,None,0,0,0,0,0,0,0,0,0,1
1,B5,PUPA,161,7,0,None,0,0,0,0,0,0,0,0,0,1
1,B6,BEMA,188,47,0,None,0,0,0,0,0,0,0,0,0,1
1,B6,CETE,777,7,0,None,0,0,0,0,0,0,0,0,0,1
1,B6,SCLA,155,5,0,None,0,0,0,0,0,0,0,0,0,1
1,B6,SOAS,440,8,0,None,0,0,0,0,0,0,0,0,0,1
1,C1,BEMA,164,41,0,None,0,0,0,0,0,0,0,0,0,1
1,C1,CETE,4551,41,0,None,0,0,0,0,0,0,0,0,0,1
1,C1,CHMI,35,2.5,0,None,0,0,0,0,0,0,0,0,0,1
1,C2,BEMA,64,16,0,None,0,0,0,0,0,0,0,0,0,1
1,C2,CETE,1443,13,0,None,0,0,0,0,0,0,0,0,0,1
1,C2,CHFU,288,9,0,None,0,0,0,0,0,0,0,0,0,1
1,C2,SOAS,165,3,0,None,0,0,0,0,0,0,0,0,0,1
1,C3,BEMA,456,114,0,None,0,0,0,0,0,0,0,0,0,1
1,C3,CETE,888,8,0,None,0,0,0,0,0,0,0,0,0,1
1,C3,CHFU,1798,31,0,None,0,0,0,0,0,0,0,0,0,1
1,C3,PUPA,92,4,0,None,0,0,0,0,0,0,0,0,0,1
1,C4,BEMA,860,215,0,None,0,0,0,0,0,0,0,0,0,1
1,C4,CETE,555,5,0,None,0,0,0,0,0,0,0,0,0,1
1,C5,BEMA,24,6,0,None,0,0,0,0,0,0,0,0,0,1
1,C5,CETE,1221,11,0,None,0,0,0,0,0,0,0,0,0,1
1,C5,CHFU,128,4,0,None,0,0,0,0,0,0,0,0,0,1
1,C6,BEMA,308,77,0,None,0,0,0,0,0,0,0,0,0,1
1,C6,PUPA,299,13,0,None,0,0,0,0,0,0,0,0,0,1
1,D1,CETE,4620,33,0,None,0,0,0,0,0,0,0,0,0,1
1,D2,BEMA,72,18,0,None,0,0,0,0,0,0,0,0,0,1
1,D2,CETE,1665,15,0,None,0,0,0,0,0,0,0,0,0,1
1,D2,SCLA,93,3,0,None,0,0,0,0,0,0,0,0,0,1
1,D3,BEMA,204,51,0,None,0,0,0,0,0,0,0,0,0,1
1,D3,CETE,2775,25,0,None,0,0,0,0,0,0,0,0,0,1
1,D3,CHFU,560,17.5,0,None,0,0,0,0,0,0,0,0,0,1
1,D3,PUPA,575,25,0,None,0,0,0,0,0,0,0,0,0,1
1,D3,SCLA,31,1,0,None,0,0,0,0,0,0,0,0,0,1
1,D4,BEMA,292,73,0,None,0,0,0,0,0,0,0,0,0,1
1,D4,SCLA,155,5,0,None,0,0,0,0,0,0,0,0,0,1
1,D4,SOAS,275,5,0,None,0,0,0,0,0,0,0,0,0,1
1,D5,BEMA,84,21,0,None,0,0,0,0,0,0,0,0,0,1
1,D5,CETE,1221,11,0,None,0,0,0,0,0,0,0,0,0,1
1,D5,CHFU,64,2,0,None,0,0,0,0,0,0,0,0,0,1
1,D6,BEMA,48,12,0,None,0,0,0,0,0,0,0,0,0,1
1,E1,BEMA,260,65,0,None,0,0,0,0,0,0,0,0,0,1
1,E1,CETE,752.5,17.5,0,None,0,0,0,0,0,0,0,0,0,1
1,E1,PUPA,92,4,0,None,0,0,0,0,0,0,0,0,0,1
1,E1,SCLA,99,4.5,0,None,0,0,0,0,0,0,0,0,0,1
1,E1,SOAS,550,10,0,None,0,0,0,0,0,0,0,0,0,1
1,E2,BEMA,1320,330,0,None,0,0,0,0,0,0,0,0,0,1
1,E2,CETE,1665,15,0,None,0,0,0,0,0,0,0,0,0,1
1,E3,BEMA,160,40,0,None,0,0,0,0,0,0,0,0,0,1
1,E3,CETE,2775,25,0,None,0,0,0,0,0,0,0,0,0,1
1,E4,BEMA,80,20,0,None,0,0,0,0,0,0,0,0,0,1
1,E4,CETE,2941.5,26.5,0,None,0,0,0,0,0,0,0,0,0,1
1,E5,BEMA,456,114,0,None,0,0,0,0,0,0,0,0,0,1
1,E5,CETE,666,6,0,None,0,0,0,0,0,0,0,0,0,1
1,E5,PUPA,8,2,0,None,0,0,0,0,0,0,0,0,0,1
1,E6,BEMA,208,52,0,None,0,0,0,0,0,0,0,0,0,1
1,F1,BEMA,216,54,0,None,0,0,0,0,0,0,0,0,0,1
1,F1,CETE,1887,17,0,None,0,0,0,0,0,0,0,0,0,1
1,F1,SOAS,770,14,0,None,0,0,0,0,0,0,0,0,0,1
1,F2,BEMA,468,117,0,None,0,0,0,0,0,0,0,0,0,1
1,F2,CETE,7215,65,0,None,0,0,0,0,0,0,0,0,0,1
1,F3,BEMA,280,70,0,None,0,0,0,0,0,0,0,0,0,1
1,F3,CETE,1665,15,0,None,0,0,0,0,0,0,0,0,0,1
1,F4,BEMA,328,82,0,None,0,0,0,0,0,0,0,0,0,1
1,F4,CETE,1887,17,0,None,0,0,0,0,0,0,0,0,0,1
1,F4,CHFU,32,1,0,None,0,0,0,0,0,0,0,0,0,1
1,F5,BEMA,240,60,0,None,0,0,0,0,0,0,0,0,0,1
1,F5,CETE,2997,27,0,None,0,0,0,0,0,0,0,0,0,1
1,F5,PUPA,225,22.5,0,None,0,0,0,0,0,0,0,0,0,1
1,F6,BEMA,924,231,0,None,0,0,0,0,0,0,0,0,0,1
1,F6,CETE,666,6,0,None,0,0,0,0,0,0,0,0,0,1
1,F6,SCLA,155,5,0,None,0,0,0,0,0,0,0,0,0,1
2,A1,BEMA,216,54,0,None,0,0,0,0,0,0,0,0,0,1
2,A1,CETE,222,2,0,None,0,0,0,0,0,0,0,0,0,1
2,A1,PUPA,1764,36,0,None,0,0,0,0,0,0,0,0,0,1
2,A1,SCLA,77.5,2.5,0,None,0,0,0,0,0,0,0,0,0,1
2,A2,BEMA,64,16,0,None,0,0,0,0,0,0,0,0,0,1
2,A2,CETE,2805,17,0,None,0,0,0,0,0,0,0,0,0,1
2,A2,SCLA,112,4,0,None,0,0,0,0,0,0,0,0,0,1
2,A3,BEMA,80,20,0,None,0,0,0,0,0,0,0,0,0,1
2,A3,PUPA,0,4,0,None,0,0,0,0,0,0,0,0,0,1
2,A4,CETE,616,11,0,None,0,0,0,0,0,0,0,0,0,1
2,A4,CHFU,96,3,0,None,0,0,0,0,0,0,0,0,0,1
2,A4,PUPA,16.5,5.5,0,None,0,0,0,0,0,0,0,0,0,1
2,A5,BEMA,68,17,0,None,0,0,0,0,0,0,0,0,0,1
2,A6,BEMA,56,14,0,None,0,0,0,0,0,0,0,0,0,1
2,A6,CETE,2844,9,0,None,0,0,0,0,0,0,0,0,0,1
2,A6,SCLA,62,2,0,None,0,0,0,0,0,0,0,0,0,1
2,B1,BEMA,456,114,0,None,0,0,0,0,0,0,0,0,0,1
2,B1,CHFU,352,11,0,None,0,0,0,0,0,0,0,0,0,1
2,B1,SCLA,31,1,0,None,0,0,0,0,0,0,0,0,0,1
2,B2,BEMA,136,34,0,None,0,0,0,0,0,0,0,0,0,1
2,B2,SCLA,68,2,0,None,0,0,0,0,0,0,0,0,0,1
2,B3,BEMA,192,48,0,None,0,0,0,0,0,0,0,0,0,1
2,B3,CETE,555,5,0,None,0,0,0,0,0,0,0,0,0,1
2,B3,PUPA,115,5,0,None,0,0,0,0,0,0,0,0,0,1
2,B3,SCLA,93,3,0,None,0,0,0,0,0,0,0,0,0,1
2,B4,BEMA,68,17,0,None,0,0,0,0,0,0,0,0,0,1
2,B4,CETE,777,7,0,None,0,0,0,0,0,0,0,0,0,1
2,B4,PUPA,5,5,0,None,0,0,0,0,0,0,0,0,0,1
2,B4,SCLA,23,1,0,None,0,0,0,0,0,0,0,0,0,1
2,B5,BEMA,72,18,0,None,0,0,0,0,0,0,0,0,0,1
2,B5,CETE,666,6,0,None,0,0,0,0,0,0,0,0,0,1
2,B5,PUPA,45,4.5,0,None,0,0,0,0,0,0,0,0,0,1
2,B6,BEMA,48,12,0,None,0,0,0,0,0,0,0,0,0,1
2,B6,CETE,7326,66,0,None,0,0,0,0,0,0,0,0,0,1
2,B6,SCLA,62,2,0,None,0,0,0,0,0,0,0,0,0,1
2,C1,BEMA,28,7,0,None,0,0,0,0,0,0,0,0,0,1
2,C1,CETE,5565,35,0,None,0,0,0,0,0,0,0,0,0,1
2,C1,LEMA,770,7,0,None,0,0,0,0,0,0,0,0,0,1
2,C1,PUPA,90,6,0,None,0,0,0,0,0,0,0,0,0,1
2,C1,SCLA,62,2,0,None,0,0,0,0,0,0,0,0,0,1
2,C2,BEMA,352,88,0,None,0,0,0,0,0,0,0,0,0,1
2,C2,CETE,2997,27,0,None,0,0,0,0,0,0,0,0,0,1
2,C2,SCLA,62,2,0,None,0,0,0,0,0,0,0,0,0,1
2,C3,BEMA,248,62,0,None,0,0,0,0,0,0,0,0,0,1
2,C3,CETE,3774,34,0,None,0,0,0,0,0,0,0,0,0,1
2,C3,CHFU,204,3,0,None,0,0,0,0,0,0,0,0,0,1
2,C3,PUPA,195,5,0,None,0,0,0,0,0,0,0,0,0,1
2,C3,SCLA,62,2,0,None,0,0,0,0,0,0,0,0,0,1
2,C4,BEMA,56,14,0,None,0,0,0,0,0,0,0,0,0,1
2,C4,CETE,777,7,0,None,0,0,0,0,0,0,0,0,0,1
2,C4,CHFU,32,1,0,None,0,0,0,0,0,0,0,0,0,1
2,C4,PUPA,236,4,0,None,0,0,0,0,0,0,0,0,0,1
2,C4,SCLA,31,1,0,None,0,0,0,0,0,0,0,0,0,1
2,C5,BEMA,116,29,0,None,0,0,0,0,0,0,0,0,0,1
2,C5,CETE,666,6,0,None,0,0,0,0,0,0,0,0,0,1
2,C5,SCLA,62,2,0,None,0,0,0,0,0,0,0,0,0,1
2,C6,BEMA,56,14,0,None,0,0,0,0,0,0,0,0,0,1
2,C6,SCLA,64,2,0,None,0,0,0,0,0,0,0,0,0,1
2,D1,BEMA,72,18,0,None,0,0,0,0,0,0,0,0,0,1
2,D1,CETE,1512,7,0,None,0,0,0,0,0,0,0,0,0,1
2,D1,PUPA,207,9,0,None,0,0,0,0,0,0,0,0,0,1
2,D1,SCLA,62,2,0,None,0,0,0,0,0,0,0,0,0,1
2,D2,BEMA,312,78,0,None,0,0,0,0,0,0,0,0,0,1
2,D2,SCLA,62,2,0,None,0,0,0,0,0,0,0,0,0,1
2,D2,SOAS,330,6,0,None,0,0,0,0,0,0,0,0,0,1
2,D3,BEMA,240,60,0,None,0,0,0,0,0,0,0,0,0,1
2,D3,CETE,2220,20,0,None,0,0,0,0,0,0,0,0,0,1
2,D3,CHFU,256,8,0,None,0,0,0,0,0,0,0,0,0,1
2,D3,PUPA,92,4,0,None,0,0,0,0,0,0,0,0,0,1
2,D3,SCLA,77.5,2.5,0,None,0,0,0,0,0,0,0,0,0,1
2,D4,BEMA,64,16,0,None,0,0,0,0,0,0,0,0,0,1
2,D4,CETE,1665,15,0,None,0,0,0,0,0,0,0,0,0,1
2,D4,SCLA,31,1,0,None,0,0,0,0,0,0,0,0,0,1
2,D5,BEMA,148,37,0,None,0,0,0,0,0,0,0,0,0,1
2,D5,CETE,3108,28,0,None,0,0,0,0,0,0,0,0,0,1
2,D5,PUPA,0,4,0,None,0,0,0,0,0,0,0,0,0,1
2,D5,SCLA,46.5,1.5,0,None,0,0,0,0,0,0,0,0,0,1
2,D6,BEMA,88,22,0,None,0,0,0,0,0,0,0,0,0,1
2,D6,CETE,2331,21,0,None,0,0,0,0,0,0,0,0,0,1
2,D6,SCLA,31,1,0,None,0,0,0,0,0,0,0,0,0,1
2,E1,BEMA,92,23,0,None,0,0,0,0,0,0,0,0,0,1
2,E1,CETE,567,9,0,None,0,0,0,0,0,0,0,0,0,1
2,E1,PUPA,4,4,0,None,0,0,0,0,0,0,0,0,0,1
2,E1,SCLA,124,4,0,None,0,0,0,0,0,0,0,0,0,1
2,E1,SOAS,165,3,0,None,0,0,0,0,0,0,0,0,0,1
2,E2,BEMA,104,26,0,None,0,0,0,0,0,0,0,0,0,1
2,E2,PUPA,60,6,0,None,0,0,0,0,0,0,0,0,0,1
2,E3,BEMA,60,15,0,None,0,0,0,0,0,0,0,0,0,1
2,E3,CETE,1221,11,0,None,0,0,0,0,0,0,0,0,0,1
2,E3,SOAS,806.6666666666666,14.666666666666666,0,None,0,0,0,0,0,0,0,0,0,1
2,E4,BEMA,264,66,0,None,0,0,0,0,0,0,0,0,0,1
2,E4,CHFU,32,1,0,None,0,0,0,0,0,0,0,0,0,1
2,E4,SCLA,31,1,0,None,0,0,0,0,0,0,0,0,0,1
2,E4,SOAS,385,7,0,None,0,0,0,0,0,0,0,0,0,1
2,E5,BEMA,320,80,0,None,0,0,0,0,0,0,0,0,0,1
2,E5,PUPA,72,9,0,None,0,0,0,0,0,0,0,0,0,1
2,E5,SCLA,93,3,0,None,0,0,0,0,0,0,0,0,0,1
2,E6,BEMA,152,38,0,None,0,0,0,0,0,0,0,0,0,1
2,E6,CETE,245,7,0,None,0,0,0,0,0,0,0,0,0,1
2,E6,SCLA,62,2,0,None,0,0,0,0,0,0,0,0,0,1
2,E6,SOAS,275,5,0,None,0,0,0,0,0,0,0,0,0,1
2,F1,BEMA,56,14,0,None,0,0,0,0,0,0,0,0,0,1
2,F1,CETE,2310,11,0,None,0,0,0,0,0,0,0,0,0,1
2,F1,SCLA,31,1,0,None,0,0,0,0,0,0,0,0,0,1
